,portrait_50,categories2,profile_type,title,skills,country,description,name,last_activity,rate,member_since,portfolio_items_count,id,test_passed_count,feedback
2,https://odesk-prod-portraits.s3.amazonaws.com/Users:writingnoyes:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=DWhz%2FuIF2a%2FGywbVCF419bN4R3c%3D&1479136792924860,Writing,Independent,Creative Article and Blog Writer,editorial-writing--reviews--article-writing--copy-editing--internet-research--content-writing--creative-and-talent--blog-writing--blog-commenting,United States,"In my 30 years experience working in social and educational services, I have learned how to communicate with a diverse population. My copy and content writing educates and motivates while being easily accessible to a wide audience. My writing promotes the dignity of both the reader and the subject of the piece.My experience includes:	Writing successful grant proposals	Writing a bi-yearly newsletter for fundraising purposes	Extensive experience in editing college essays and academic papers	Writing various curriculum for grades Pre-K through High School	Design and content writing for funding brochure	Recording progress of mental health clients for insurance reimbursement	Researching funding sources for non-profit	Designing funding materials for non-profit	Completing government reports in both education and mental health fieldsI am aggressive in analyzing information, determined to understand it thoroughly and present it with clarity and fairness. I have a keen eye for how to involve my audience and how to provide a safe encounter of topics that are complex or controversial, unknown or ominous. I often use humor or relatable stories to soften defenses and engage my readers. I tirelessly labor to meet my own high standards and those of my employers. With speed and efficiency I prioritize clarity and accessibility in my writing and will work relentlessly to make your ideas and products marketable. Knowing that together we produce a higher quality product, I am open to critique and will work until you are 100% satisfied. Contact me so we can begin our first project!",Terry Noyes,2017-02-22,20.0,"November 14, 2016",3,https://www.upwork.com/freelancers/_~017234b315fb11046f,3,4.8696826758
4,https://odesk-prod-portraits.s3.amazonaws.com/Users:astewart2:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=cYaiItxdVctiyIHHW%2BZPinH1Fa0%3D&1466144925908192,Writing--Admin Support,Independent,Blog and Article Writer,english-proofreading,United States,I am a freelance writer with a B.S. from Northwestern University and a Masters in Public Policy from the University of Chicago's Harris School of Public Policy. I love writing about almost any topic and have written academic papers as well as creative publications. I work in the education sector and enjoy writing about this topic. I aim to please clients and I am very flexible. ,April Stewart,2017-02-03,25.0,"June 17, 2016",0,https://www.upwork.com/freelancers/_~01b94adc72f7d6238d,2,4.8
23,https://odesk-prod-portraits.s3.amazonaws.com/Users:synergywriting:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=Y%2F1xY0Z%2B3cdkmM5ihAUaR3GJQq0%3D&1471545764941984,Writing,Independent,"Interesting, Informative and Creative Web Content and Blog Posts",seo-writing--ebook-writing--content-writing--blog-writing,United States,"I have been a freelance Web Content creator for the last 10 years. Before that I was the Managing Editor of a weekly arts and culture newspaper. I have a BA degree in Humanities from SUNY Buffalo. I have worked with hundreds of clients over the years and enjoy working on projects that encompass many different topics. I can write informative and interesting content on almost any subject, although I specialize in Media, TV and Film content. I can provide content ranging from blog posts of a couple hundred words to hundred page eBooks. My rates are very competitive and my turnaround times are quick. If you are looking for an intuitive writer that doesn't need to be micromanaged who will deliver great content on schedule send me a message and let's talk. ",Sonya Luedeman,2017-02-23,30.0,"August 18, 2016",0,https://www.upwork.com/freelancers/_~01a090c44ba8b65ca6,5,5.0
24,https://odesk-prod-portraits.s3.amazonaws.com/Users:mrdecesaris:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=%2BggYGBkdZWC%2B5AFJbieX34YHXVk%3D&1467983524365471,Translation--Writing,Independent,"Native English Editing, Proofreading, Writing, and Translation",english-proofreading--copy-editing--editing--translation-dutch-english--writing--ghostwriting,Netherlands,"Originally from the United States, I am an experienced independent copy/line editor and proofreader, specializing in the English language. Currently based out of the Netherlands, I provide services to foreign as well as native English speakers on any written text they need assistance with. My business, Unlimited Editions, provides services that include checking for proper grammar, page layout, sentence and paragraph structure, vocabulary, comprehensiveness of writing, as well as revising compositions for better flow and tailoring to the targeted audience of the original author.Some written works I am able to assist clients with include, but are not limited to: all academic papers, including theses and dissertations.. personal original compositions and written works.. CVs and rsums.. cover letters.. web content.. advertisements.. and more. I also provide short document (maximum ten pages) Dutch-to-English text translation.I also have a passion for my own creative and content writing. In my writing I have an affinity for creativity and extend my passion through my work by composing engaging articles that capture the audience, and my proofreading skills are flawless. My dream career is to be a professional editor and writer, and I look forward to doing business with you!",Maggie DeCesaris,2017-02-23,12.5,"July 8, 2016",2,https://www.upwork.com/freelancers/_~01352ae4efcc0aceee,3,4.6
26,https://odesk-prod-portraits.s3.amazonaws.com/Users:junaidamjad0313:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=dKaKUxXisIUsPm1d90sVNLxuyK8%3D&1454168483826704,"Writing--Web, Mobile & Software Dev--Admin Support--Design & Creative--IT & Networking",Independent,Software Engineer,wordpress--blog-writing--photo-editing--android-app-development--video-editing--data-entry--logo-design--graphic-design--writing--wix,Pakistan,"I am a professional software engineer and a project manager. I have expertise in photoshop,web designing, logo,banner,card designing,creative writing,blog writing,survey writing, android app development and c# app development.",Junaid Amjad,2017-02-22,13.33,"July 31, 2015",0,https://www.upwork.com/freelancers/_~016dc540157d9eab2e,0,4.9363430655
28,https://odesk-prod-portraits.s3.amazonaws.com/Users:daneg33:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=%2BX%2BtBjOGIfds6sh572IuVt77SVc%3D,"Writing--Admin Support--Web, Mobile & Software Dev",Independent,Article Writer/Content Writer,affiliate-marketing--article-writing--internet-research--wordperfect--blog-writing--wordpress,Canada,"I have been writing articles for website owners for more than seven years.   I have the ability to write on a variety of topics and I enjoy connecting with clients who offer long term jobs.  I am able to gather the information I need on just about any topic, do the required research, create articles, proofread and submit them in a timely manner.  I have fast typing and transcription skills with a typing speed of over 120 wpm.  I am currently working with a few long term clients on upwork to provide them with their content needs.",Mickey K.,2017-02-17,16.67,"May 25, 2011",1,https://www.upwork.com/freelancers/_~01cc9a43f1c45844b3,12,4.9958184056
31,https://odesk-prod-portraits.s3.amazonaws.com/Users:lady_writer:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=c57Tm2VgsLZSN163n4EMeyBh8%2Bs%3D&1457213331673261,Translation--Writing,Independent,Web copy /Content writer,creative-writing--brand-marketing--research--seo-writing--copy-editing--proofreading,Romania,"Accomplished, skilled and creative content writer with diverse knowledge in writing content on a vast variety of topics. I hold a BA in English - Media & Communications.I posses 5+ years of progressive experience as a web copy/content writer. I speak 4 languages fluently, and I understand very well the needs of people  coming from different cultural backgrounds. I consider this is extremely important when trying to target audiences through the written word anywhere across the globe.I have got excellent analytical and research skills,and my credo is ""Know your competition and outsmart it!""I have got experience in the following categories:-Branding- Taglines/Slogans-Website Content-SEO targeted articles- always respecting keyword density requirements-writing persuasive/informational blog posts + WP publishing (pictures + tags included)-Smart link bait articles-Product Description articles-Health related articles-in-depth research on any topic/niche",Luminita T,2017-02-23,16.67,"January 27, 2012",0,https://www.upwork.com/freelancers/_~01f31648a4bf2bdb07,5,4.9831425215
33,https://odesk-prod-portraits.s3.amazonaws.com/Users:sylvester-tom:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=QU38Tzqa2GOf44RPWROfB1hh1X8%3D&1469290424236291,Writing,Independent,Creative writing professional,blog-writing--creative-writing--essay-writing--research-papers--seo-audit--seo-keyword-research--seo-writing,United States,"I am a recent University graduate with a Degree in Journalism and Mass Communication. I am a high quality writer, I have been writing for more than 6 years now. My Qualifications 1. Article Writing/ Rewriting/ Proofreading/ Editing2. Academic Writing/ Essay Writing/ Thesis Writing3. Business Writing4. Report and Ebook Writing5. Web content and Blog Writing 6. Technical Writing7. SEO WritingI always ensure that the work I provide is very informative, well-researched, perfectly polished and error free. Also, I deliver work within the time frame provided.",Thomas Sylvester,2017-02-24,15.0,"July 22, 2016",3,https://www.upwork.com/freelancers/_~0112422d9649fbbe62,2,4.6096059113
34,https://odesk-prod-portraits.s3.amazonaws.com/Users:bill_toulas:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=NkaZEqDKHeNQl6PKTwKrEKy6fO4%3D&1460705349083408,Writing,Independent,Online Content Editor,blog-writing--article-writing--technical-writing--content-writing--translation--technical-documentation--translation-greek-english,Greece,"Versatile content writer and editor with over five years of experience in online media and technical writing. As a Mechanical Engineer, I have an intrinsic passion for new technologies and science that leads my editing activities towards the related fields. Using my knowledge, creativity and thorough research, I have successfully produced technical articles, product descriptions, blog posts, software documentation, tutorials, interviews, website content, promotional material and technical translations.I have extensive experience in working with various content management platforms such as WordPress and Joomla, always keeping SEO in mind and able to use HTML and CSS elements in my posts. I have no problem working in a team and in tight schedules, and I also have some experience in managing and coordinating a group of editors. I have a flexible schedule as I work during the weekends too, and I always reply to any messages asap. I can also submit regular reports to help my clients keep track of the project progress and always finish the tasks I have undertaken in a timely manner.",Bill Toulas,2017-02-24,14.0,"May 22, 2014",1,https://www.upwork.com/freelancers/_~01f6991662d5cb6264,5,4.9591207956
35,https://odesk-prod-portraits.s3.amazonaws.com/Users:davidstyles:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=Eq8BmBNaKqk1BJBDMixeIVDl008%3D&1459181899261668,Writing,Independent,Copywriter / Writer / Translator,copywriting--writing--translation,United Kingdom,"Do you want to see your profits leap to the next level? You may find yourself amazed at the difference top-quality copywriting will make to your business.Take advantage of my low rates while they last, because I'll be increasing them once my professional reputation is fully transferred here and an Upwork portfolio established. In the meantime, you get my full expert attention - for a fraction of my usual $59/hour cost.I'm a native English speaker who comes from an academic background in Language Studies - BA(Hons). I've worked in sales, marketing, and management, to include international project management and heading a major company operational in 28 European countries.With this wealth of experience, I can guarantee that I'll understand your business needs, and will be able to drive your business exponentially with my expert knowledge of what needs to be conveyed and how.So if you want the benefit of a top level copywriter writing YOUR copy, but at bargain-basement rates for the next few jobs only, then do invite me now, and I'll be happy to collaborate.",David Styles,2017-02-16,18.99,"March 28, 2016",1,https://www.upwork.com/freelancers/_~01074baf52ea5efe9b,2,5.0
36,https://odesk-prod-portraits.s3.amazonaws.com/Users:blake-ingram:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=QSp2i3OMzbuebJHd1mDQXfS2tIA%3D&1439701029241737,Sales & Marketing--Writing,Independent,Copy Writing Specialist,copywriting--seo-writing--product-descriptions--sales-letters--content-writing,United States,"Do you need to increase your sales or conversions?What about increased readership?OrDo you just need a touch up on your own personally written copy?------------------------------------------------------------------------------------------------------Now I won't bore you with why I am better than everyone else. Instead, let me tell why you NEED a copywriter (even if you don't choose me).--------------------------------""Why Do I Need A Copywriter?""-------------------------------Imagine your end-goalWhether that be a 731hp red Ferrari F-12 with that purrrrrring v12,  multi-story home overseeing the ocean blue on the evening horizon or just plain financial security, no longer being mentally (almost physically) handcuffed to your desk job trapped for 10 long hours a day building your bosses dream. Imagine having the ability to get the life you want all because you chose to work smarter not harder.Hiring a Copy Writing Specialist will be the gatekeeping to obtaining your clear, vivid dreams. Ad copy, written with killer headlines and eye-grabbing copy will continuously gather fresh sales, ripe for profit.All while you sleep or are just relaxing in your home.A truly good copywriter will ALWAYS dig deep into your target customers brain.They will unpack their deepest desires and re-plant them in their brain with your product ready to become their next NEED.-------------------------------Why Your Sales Will Always Suck-------------------------------Harsh! But, I need, to be honest with you.If you do not have the skill of a written salesmen (after all, that's what we are),you will continue to hand money 'hand-over-hand' to the competition.A poorly written copy will make or break your product sales curve and whichever you decide to choose, will decide the future of your business.----------------------------------What You NEED To Do Next---------------------------------Thank you, if you have read this far. I truly do appreciate it. Next, go ahead and click ""Hire Now"" in the top right, if you NEED one of the following:- Product Description Copy- Headline Writing- Sales/Squeeze Page Refining- Full Website Copy -  Website Conversion Design-----------------------------------What Is Your Refund Policy?---------------------------------I offer all customers a full money back guarantee if they are not satisfied with my content (Inside and out of UpWork).P.S. Once hired, we can exchange all the contact info you like, in case you need to get a hold of me and in an urgent time slot.We can exchange email, skype, cellphones, facebooks, myspaces, you name it! (But who really uses myspace still?)Hire me now, and experience the overwhelming benefits of an armed copywriter.",Blake Ingram,2017-02-21,30.0,"August 16, 2015",1,https://www.upwork.com/freelancers/_~0159ae39053c495d24,0,5.0
40,https://odesk-prod-portraits.s3.amazonaws.com/Users:sarahalbion92:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=krmtiDwbWGBKA2Y1mSbFi6YI294%3D&1445615378780959,Writing,Independent,Recipe writer/ diet/ Nutrition/ ebooks,recipe-writing--ebook-writing--academic-writing--nutrition,Australia,"I'm a conscientious worker with a focus on quality and client satisfaction. I have a proven track record of writing excellent quality content. I have excellent eBook writing skills as well, will complete assignments on time, and I assure quality work. All ebooks are written only upon in-depth analysis, which I am sure will meet your expectations.",Sarah Albion,2017-02-22,12.0,"October 23, 2015",9,https://www.upwork.com/freelancers/_~0199c4aab6cf5c5174,2,4.760377602
42,https://odesk-prod-portraits.s3.amazonaws.com/Users:mcaitch:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=KgqYa9%2BRZfZawjFlJQFFiCmrfTs%3D&1468398201364444,Writing,Independent,Journalist / Copywriter / Communications Specialist,journalism-writing--blog-writing--communications--social-media-marketing--social-media-management--translation--translation-russian-english--translation-english-armenian--translation-armenian-english,Armenia,"I have a B.A. in Journalism, media studies and communication and 5 years of experience as a writer in the field of arts and media. I mainly do article writing and marketing communications. I also am fluent in Russian and can provide Russian-English and English-Russian as well as English-Armenian and Armenian-English translations.",Diana Hovhannisyan,2017-02-07,25.0,"November 29, 2015",1,https://www.upwork.com/freelancers/_~010e4271e6c39beed7,1,5.0
43,https://odesk-prod-portraits.s3.amazonaws.com/Users:e_gooding:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=I1DzLmF6jHTpku%2BTR7scW5fwLLE%3D&1480417240733379,Writing,Independent,Full Time Trader and Financial Writer,microsoft-word--adobe-lightroom--adobe-illustrator--financial-analysis--financial-writing--financial-reporting,United States,"Im passionate about the financial markets and with more than 7 years professional experience advising, trading and writing.Im professional Forex trader who is also passionate about delivering quality written content to the industry. Im also a dedicated and experienced investor with solid interpersonal communication abilities.I boast of both theoretical and practical knowledge of the Forex industry. So, the content I provide to my clients will assist their readers have analytical skills and develop the strong will necessary for uncovering the secrets of this dynamic market.Being traders myself, I constantly aim to deliver amazing and useful content that will improve the conditions of other traders.Why not trust me with your Forex writing project? If you hire me you can be sure of compelling and error-free content for your readers.",Erick Gooding,2017-02-22,25.0,"November 24, 2016",2,https://www.upwork.com/freelancers/_~01e8eff8fc8afcf988,2,4.7140243902
44,https://odesk-prod-portraits.s3.amazonaws.com/Users:beatricecarlini:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=e0uLXdPlJHrPMNc8WpCZvynHN3M%3D&1459420757076181,Writing--Translation--Sales & Marketing,Independent,Italian-English Translator,translation--seo-writing--business-writing--translation-english-italian--translation-italian-english--cover-letter-writing--creative-writing,Italy,"I am an Italian student enrolled in a master degree at Bocconi University in Milan. I have a strong passion for writing and reading, and this has allowed me to gain a perfect command of Italian and English languages.Having worked in communication for one year, I am used to preparing texts and articles for the website, brochures, presentations, press office communication both in Italian and in English. I can guarantee a professional output in the shorter delay possible as I have gained a perfect time management.Here in Upwork, I have collaborated for a very extended period in different projects for text-paraphrasing and translations. I am flexible and open to new projects and activities! Get in touch!",beatrice carlini,2017-02-22,15.0,"June 17, 2015",0,https://www.upwork.com/freelancers/_~01f21493774ffe9cd4,5,4.3682614555
