,portrait_50,categories2,profile_type,title,skills,country,description,name,last_activity,rate,member_since,portfolio_items_count,id,test_passed_count,feedback
1,https://odesk-prod-portraits.s3.amazonaws.com/Users:aelberethen:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=Han4r%2FwyqdZRGiUwd61D4ljcH2k%3D&1485541248007730,Data Science & Analytics,Independent,PhD in Computer Science and Engineering,java--python--c++--html5--css3--sas--javascript--sql--xml--json,Italy,"I live in Italy and I am a Ph.D. in Computer Science and Engineering, with 5 years of experience in working with Semantic Web, Web Crawling, Data Analysis and Machine Learning.",Fabio Marfia,2017-02-10,20.0,"January 27, 2017",1,https://www.upwork.com/freelancers/_~01141ac98c69910614,1,5.0
2,https://odesk-prod-portraits.s3.amazonaws.com/Users:bozhidar07:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=RINwe2QbxILDKcGR20mZn1k2p64%3D&1486814208486492,Data Science & Analytics,Independent,"Data entry specialist, IT Dekstop Analyst",data-entry--it-management--content-moderation--wordpress,Macedonia,"Microsoft certified IT professional, with three years of international experience. Data Science & Analytics, Microsoft access database and HTML applications data entry.",bozhidar kjirkovikj,2017-02-19,10.0,"November 1, 2015",0,https://www.upwork.com/freelancers/_~01b9f306370a5f3e7d,0,5.0
8,https://odesk-prod-portraits.s3.amazonaws.com/Users:ramezk:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=35fIeuoMt%2BBmpjXPwB4%2B4zro6gc%3D&1434120126013532,Writing--Admin Support,Independent,Medical Student,data-entry--blog-writing--email-handling--reviews--bookkeeping--management-skills--human-sciences--medical-writing--scientific-research--presentations,Lebanon,"Attentive, efficient, and professional university graduate,  with 5 years experience in data handling and research. Extensive science background and tech savvy that is always up to date with technological advancements and social media. Blog and entry writer on scientific and technology topics.",Ramez K.,2017-02-23,15.0,"June 12, 2015",0,https://www.upwork.com/freelancers/_~014b5c7c3ec6991c0d,0,0.0
10,-,"Data Science & Analytics--Web, Mobile & Software Dev--Sales & Marketing--Accounting & Consulting",Independent,Business Analyst & Quantitative Modeler,statistics--data-analysis--machine-learning--microsoft-excel--python--r,United States,"Business analyst and Quantitative modeler with experience in Financial, Healthcare and Retail sector. I employ advanced computational methods for data analysis and science using high-level programming languages. Experience:- Data cleaning, data analysis, modeling and simulation techniques using Python and R- MySQL/MongoDB/Sqlite/Sparql/Postgresql- Machine Learning- Parsing xml/csv/json- AWS servers- Python libraries:Pandas, Bokeh, Blaze, Ibis, matplotlib, ggplot, numpy, csv, re, json, urllib, urllib2, socket, httplib, sklearn, BeautifulSoup, selenium, requests, lxml, xml, sys- IDEs: iPython notebook- R libraries: dplyr, reshape, tidyr, rvest, rCharts, htmlwidgets, ggplot, ggvis,Github: https://github.com/vbakellaWorked as a Quantitaive Developer in a large US financial company . Worked as a IT Consultant and Strategist for a leading Consulting company in US and AsiaEducationMBA from a leading US universityMasters in Engineering",Vijay A.,2017-02-24,20.0,"May 30, 2014",0,https://www.upwork.com/freelancers/_~0132a52e39330fadcc,2,4.9742105263
14,https://odesk-prod-portraits.s3.amazonaws.com/Users:moscowart:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=Fp71pfEQb049H3NxeTVL0ra8CTI%3D&1448864033196564,"Web, Mobile & Software Dev--Data Science & Analytics",Independent,Data engineer (Scala/Python),scala--akka--real-time-stream-processing--apache-kafka--apache-spark--python--cassandra--aerospike--elasticsearch--redis,Thailand,"I'm a data engineer. I mostly interested in building real-time processing pipelines. I have solid experience with Scala and Python using Akka, Kafka, Spark, Storm, Cassandra, Aerospike, Elasticsearch, Couchbase.I'm looking for any opportunities to deliver outstanding results in data science and data engineering, preferably in real-time processing. I'm looking forward to build strong long-term relationship.Currently I'm ready to work few hours on weekdays and full-time on weekends.Please do not hesitate to contact me.",Artem Moskvin,2017-02-22,30.0,"November 30, 2015",0,https://www.upwork.com/freelancers/_~012f8b55acc69d9843,1,5.0
15,-,Accounting & Consulting--Sales & Marketing--Admin Support--Writing,Independent,"Finance Expert and a guru in article writing and data entry, ",business-proposal-writing--financial-modeling--financial-analysis--data-entry--article-writing,Kenya,"Exceptionally qualified business analyst and consultant with over 7 years in business plan writing, start-up consulting, financial modelling and valuation. Top 20% in Financial analysis on Elance-Odesk. I take on projects that include but not limited to business plan writing, Financial and cashflow Modelling, business article writing, stock valuation, start-up consulting, academic writing for finance articles etc.I have a degree in Actuarial Science, a Certified Financial Analyst and a Chartered accountant. As a consultant to the financial industry, I have written extensively in the areas of financial planning, investments, sales, sales management, training and education curriculum, and consumer personal finance education. I further specialize in blogs, articles, white papers, reports and ebooks in a variety of categories including personal finance, investing, life insurance, small business, etcService DescriptionExcellent communication and documentation skills when working with business stakeholders, company executives, project managers, investors.Confirmed business analysis, communications, and project management capabilities with substantial hands-on experience in business plan development strategies and financial documentation projects.Ability to successfully analyze and capture an organizations critical business, technical, and financial requirements and provide innovative and cost-effective documentation and financial solutions.Among the services that are offered are..Business plan writingFinancial AnalysisFinancial and cashflow ModellingBusiness Planning Budgeting Business Strategy Forecasting Data Modeling ReportingOther servicesGrant writingStrategic documents: 'white papers'Business proposal writingAcademic writing-Finance related contentGhost writing Finance articles writing and rewritingFor all business plans jobs, I have customized a short but detailed questionnaire for the clients action, it enables me to collect relevant data and information about the business.I am currently running an IT and ecommerce incubation progamme for various start-up where I seek to lead them to full funding within 1 year.",Titus K.,2017-02-24,27.78,"January 12, 2012",1,https://www.upwork.com/freelancers/_~01158edcb455e794af,5,4.8528517415
16,https://odesk-prod-portraits.s3.amazonaws.com/Users:fremont-oliver:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=wZb6CBDL8ngzOhfxKfMCdZXQghs%3D&1486101546288285,"Web, Mobile & Software Dev",Independent,Senior Mobile App Developer,swift--objective-c--java--iphone-app-development--android-app-development--node.js--php--javascript,Canada,"Successful history of providing customized software application development to corporate clients.Currently specializing in mobile(iOS, Android) development. Educational background in Computer Science & Management and extensive experience in the entire software application lifecycle process including analysis of business requirements, architecture, GUI design, hands-on software development IT management utilizing unique accounting and financial knowledge with awareness of profit/loss, to expertly understand business objectives, translating and developing these into high ROI IT solutions. Strong knowledge of technical specifications, workflow development, risk management, QA. In-depth background analyzing business requirements and recommending appropriate technologies.Fluent understanding of project management and software development life cycle (SDLC).Turnaround expertise, with ability to quickly assess and lead focused approach to gaining project momentum and maximizing bottom-line results. Consulting, in-house development, and vertical market software product development experience across multiple industries. Especially adept at translating client needs into a useful, engaging and rich interactive business tools for mobile phone users.TECHNOLOGY SUMMARY: Managed projects developed on cross platform Mobile environments Expertise using C, Unix and algorithm development Architected and managed teams developing in the following: Mobile OS: iOS, Android, Blackberry, WebOS, Palm OS Languages: Java, PHP, C#, Objective-C,  OS: Linux, Windows, MacOSX Other: HTML5, HTML, CSS 3.0, Oracle, MS SQL, MySQL, Javascript, XML, AJAX, Phonegap framework, SenchaTouch",Oliver F.,2017-02-23,30.0,"February 3, 2017",4,https://www.upwork.com/freelancers/_~0116fdda5da85a7348,3,4.9428571429
21,https://odesk-prod-portraits.s3.amazonaws.com/Users:seawind8:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=V17tSTENzFqYdeT55gfr1Bujr%2BQ%3D,"Translation--Writing--Admin Support--Customer Service--Web, Mobile & Software Dev",Independent,Project Manager,data-entry--microsoft-excel--adobe-flash--nopcommerce--oscommerce--seo-keyword-research--microsoft-word--adobe-photoshop--microsoft-visual-studio--google-analytics,Greece,"Working as an E-commerce manager for:sidapharm.grtrimar.grpnt.grelectronics4you.gr Summary of Qualifications: Bachelor in Science Informatics and Technology Translation Greek Translation English  Translation Spanish Translation French Rich experience of Encoding/ copy-paste job Proven competency of dealing with clients getting details providing   information High level proficiency with Microsoft Word,Excel and Internet Making accurate and quick analysis of the gathered data Excellent communication and interpersonal skills and keenness to detail Competency of cross-selling the products and services to the clients Quick-learner",Chris K.,2017-02-13,18.0,"April 5, 2012",3,https://www.upwork.com/freelancers/_~0144d79af7306c02c5,4,5.0
26,https://odesk-prod-portraits.s3.amazonaws.com/Users:kimira_1012:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=ZlbRfmhOU4iusgT1DGxwM%2ByOX2k%3D,Writing--Engineering & Architecture--Data Science & Analytics--Design & Creative--Accounting & Consulting--Admin Support,Independent,Curriculum developer | STEM Educator | Data Analytics | Writing,curriculum-development--data-science--content-writing,Singapore,"Over the last 2 years, I have developed a wide range of curriculum for K-12 classes in STEM topics. I have also worked widely with STEM enthusiasts and Makers from the community and developed and organized several family STEM workshops. I have also run several volunteer and facilitator training programmes. My core competence lies in the development of activities and training of facilitators. I also have a background in IT and computer Science and have experience in developing programming curriculum for schools and kindergartens.",Kiruthika C.,2017-02-13,25.0,"November 13, 2014",1,https://www.upwork.com/freelancers/_~0190f1ea165b084cfe,3,2.0
46,https://odesk-prod-portraits.s3.amazonaws.com/Users:natalie179:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=hfTyMlOD1%2BIE%2F%2BWR1Fw5e1Jdfxc%3D&1438887280954023,Admin Support,Independent,Experienced and reliable,microsoft-excel--computer-skills--microsoft-word--english--english-proofreading--english-punctuation--fact-checking--letter-writing--proofreading--translation,Canada,"I have a B.A. in Political Science and German and I am in the process of obtaining my LLB in Law. I am a dedicated and self-motivated individual and specialize in delivering quality services with respect to strict deadlines and high expectations. I have excellent written and verbal communication skills in English and German, expertise in proofreading, data entry, and word processing.",Natalie L.,2017-02-24,27.0,"December 24, 2014",0,https://www.upwork.com/freelancers/_~01e54dd1cc7b9c9ab3,0,4.5666029318
