Skipping line 1082: expected 9 fields, saw 10
Skipping line 1083: expected 9 fields, saw 10
Skipping line 1084: expected 9 fields, saw 10
Skipping line 1085: expected 9 fields, saw 10
Skipping line 1086: expected 9 fields, saw 10
Skipping line 1087: expected 9 fields, saw 10
Skipping line 1088: expected 9 fields, saw 10
Skipping line 1089: expected 9 fields, saw 10
Skipping line 1090: expected 9 fields, saw 10
Skipping line 1091: expected 9 fields, saw 10
Skipping line 1374: expected 9 fields, saw 11
Skipping line 1784: expected 9 fields, saw 10
Skipping line 2697: expected 9 fields, saw 10
Skipping line 2957: expected 9 fields, saw 10
Skipping line 2958: expected 9 fields, saw 10
Skipping line 2959: expected 9 fields, saw 10
Skipping line 2960: expected 9 fields, saw 10
Skipping line 2961: expected 9 fields, saw 10
Skipping line 2962: expected 9 fields, saw 10
Skipping line 2963: expected 9 fields, saw 10
Skipping line 2964: expected 9 fields, saw 10
Skipping line 2965: expected 9 fields, saw 10
Skipping line 2966: expected 9 fields, saw 10
Skipping line 3539: expected 9 fields, saw 10
Skipping line 4302: expected 9 fields, saw 11
Skipping line 4303: expected 9 fields, saw 11
Skipping line 4304: expected 9 fields, saw 11
Skipping line 4305: expected 9 fields, saw 11
Skipping line 4306: expected 9 fields, saw 11
Skipping line 4307: expected 9 fields, saw 11
Skipping line 4309: expected 9 fields, saw 11
Skipping line 4310: expected 9 fields, saw 11
Skipping line 4311: expected 9 fields, saw 11
Skipping line 4724: expected 9 fields, saw 10
Skipping line 4725: expected 9 fields, saw 10
Skipping line 4726: expected 9 fields, saw 10
Skipping line 4727: expected 9 fields, saw 10
Skipping line 4728: expected 9 fields, saw 10
Skipping line 4729: expected 9 fields, saw 10
Skipping line 4730: expected 9 fields, saw 10
Skipping line 4731: expected 9 fields, saw 10
Skipping line 4732: expected 9 fields, saw 10
Skipping line 4733: expected 9 fields, saw 10
